Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,4.150000,4.150000,4.040000,4.140000,1.705709,426900
2020-04-20,4.010000,4.090000,3.980000,3.990000,1.643908,475400
2020-04-21,3.770000,3.830000,3.740000,3.770000,1.553267,521200
2020-04-22,3.840000,3.850000,3.780000,3.810000,1.569747,475200
2020-04-23,3.840000,3.920000,3.790000,3.810000,1.606429,876300
2020-04-24,3.800000,3.820000,3.740000,3.820000,1.610646,321500
2020-04-27,3.780000,3.830000,3.750000,3.800000,1.602213,446900
2020-04-28,3.910000,3.980000,3.880000,3.920000,1.652809,737200
2020-04-29,4.300000,4.410000,4.250000,4.410000,1.859410,615300
2020-04-30,4.090000,4.210000,4.020000,4.100000,1.728703,941300
2020-05-01,4.040000,4.090000,3.880000,3.880000,1.635944,284300
2020-05-04,3.520000,3.650000,3.510000,3.650000,1.538968,961000
2020-05-05,3.760000,3.780000,3.630000,3.690000,1.555833,334300
2020-05-06,3.680000,3.700000,3.560000,3.590000,1.513669,316900
2020-05-07,3.480000,3.540000,3.450000,3.500000,1.475722,739300
2020-05-08,3.530000,3.590000,3.490000,3.580000,1.509453,365800
2020-05-11,3.420000,3.490000,3.400000,3.470000,1.463073,423800
2020-05-12,3.420000,3.440000,3.370000,3.380000,1.425126,1123100
2020-05-13,3.210000,3.250000,3.080000,3.120000,1.315501,815900
2020-05-14,2.990000,3.100000,2.850000,3.010000,1.269121,524300
2020-05-15,3.030000,3.030000,2.990000,3.000000,1.264905,467800
2020-05-18,3.150000,3.330000,3.150000,3.320000,1.399828,1087700
2020-05-19,3.250000,3.390000,3.180000,3.240000,1.366097,912400
2020-05-20,3.450000,3.470000,3.310000,3.340000,1.408261,904400
2020-05-21,3.530000,3.610000,3.400000,3.470000,1.463073,622400
2020-05-22,3.460000,3.500000,3.360000,3.430000,1.446208,259700
2020-05-26,3.840000,3.890000,3.800000,3.870000,1.631727,1000300
2020-05-27,4.300000,4.320000,4.070000,4.120000,1.737136,904300
2020-05-28,3.900000,4.040000,3.870000,3.950000,1.665458,3153200
2020-05-29,3.450000,3.530000,3.400000,3.480000,1.467290,1772200
2020-06-01,3.520000,3.630000,3.460000,3.630000,1.530535,551000
2020-06-02,3.750000,3.790000,3.710000,3.770000,1.589564,927200
2020-06-03,4.090000,4.200000,4.080000,4.130000,1.741352,698800
2020-06-04,4.060000,4.150000,3.990000,4.050000,1.707622,607300
2020-06-05,4.450000,4.530000,4.400000,4.460000,1.880492,694200
2020-06-08,5.130000,5.220000,5.040000,5.150000,2.171420,1120700
2020-06-09,4.710000,4.810000,4.650000,4.710000,1.985901,3818800
2020-06-10,4.490000,4.570000,4.390000,4.490000,1.893141,594800
2020-06-11,4.140000,4.220000,3.960000,3.980000,1.678107,745000
2020-06-12,4.250000,4.280000,4.000000,4.140000,1.745569,364500
2020-06-15,3.920000,4.190000,3.880000,4.170000,1.758218,355500
2020-06-16,4.430000,4.440000,4.160000,4.210000,1.775083,505000
2020-06-17,4.250000,4.280000,4.050000,4.210000,1.775083,176400
2020-06-18,4.010000,4.170000,4.010000,4.170000,1.758218,214000
2020-06-19,4.200000,4.200000,4.080000,4.090000,1.724487,151700
2020-06-22,4.030000,4.060000,3.970000,4.050000,1.707622,441700
2020-06-23,4.090000,4.090000,3.960000,3.960000,1.669675,257500
2020-06-24,3.880000,3.890000,3.710000,3.740000,1.576915,452100
2020-06-25,3.650000,3.800000,3.620000,3.730000,1.572698,238700
2020-06-26,3.680000,3.680000,3.500000,3.560000,1.501020,2723400
2020-06-29,3.590000,3.630000,3.530000,3.610000,1.522102,356200
2020-06-30,3.560000,3.570000,3.520000,3.560000,1.501020,516900
2020-07-01,3.480000,3.640000,3.450000,3.570000,1.505237,192000
2020-07-02,3.680000,3.710000,3.580000,3.650000,1.538968,258500
2020-07-06,3.530000,3.670000,3.490000,3.670000,1.547400,1172400
2020-07-07,3.510000,3.560000,3.490000,3.510000,1.479939,1031200
2020-07-08,3.590000,3.700000,3.570000,3.700000,1.560049,568800
2020-07-09,3.410000,3.420000,3.280000,3.330000,1.404044,1318700
2020-07-10,3.320000,3.430000,3.300000,3.410000,1.437775,411800
2020-07-13,3.410000,3.460000,3.380000,3.390000,1.429343,2682300
2020-07-14,3.280000,3.310000,3.230000,3.300000,1.391395,753000
2020-07-15,3.430000,3.490000,3.430000,3.470000,1.463073,520400
2020-07-16,3.460000,3.460000,3.350000,3.420000,1.441992,412700
2020-07-17,3.310000,3.480000,3.310000,3.360000,1.416693,172100
2020-07-20,3.390000,3.430000,3.330000,3.420000,1.441992,401800
2020-07-21,3.570000,3.680000,3.570000,3.640000,1.534751,725000
2020-07-22,3.570000,3.710000,3.530000,3.640000,1.534751,123000
2020-07-23,3.610000,3.610000,3.440000,3.470000,1.463073,232400
2020-07-24,3.310000,3.500000,3.310000,3.470000,1.463073,328300
2020-07-27,3.380000,3.410000,3.320000,3.410000,1.437775,404700
2020-07-28,3.360000,3.480000,3.350000,3.430000,1.446208,357500
2020-07-29,3.460000,3.460000,3.310000,3.340000,1.408261,433500
2020-07-30,3.180000,3.280000,3.140000,3.260000,1.374530,312100
2020-07-31,3.210000,3.210000,3.040000,3.060000,1.290203,517300
2020-08-03,2.900000,3.060000,2.860000,3.060000,1.290203,1293300
2020-08-04,3.180000,3.270000,3.160000,3.270000,1.378746,819000
2020-08-05,3.370000,3.460000,3.340000,3.440000,1.450424,445500
2020-08-06,3.340000,3.400000,3.330000,3.380000,1.425126,425700
2020-08-07,3.270000,3.340000,3.260000,3.320000,1.399828,416900
2020-08-10,3.430000,3.510000,3.390000,3.510000,1.479939,391800
2020-08-11,3.590000,3.620000,3.530000,3.560000,1.501020,657900
2020-08-12,3.620000,3.650000,3.530000,3.540000,1.492588,281300
2020-08-13,3.550000,3.550000,3.470000,3.480000,1.467290,196800
2020-08-14,3.380000,3.410000,3.350000,3.380000,1.425126,152800
2020-08-17,3.420000,3.430000,3.360000,3.370000,1.420910,136800
2020-08-18,3.390000,3.430000,3.360000,3.360000,1.416693,276100
2020-08-19,3.370000,3.480000,3.370000,3.420000,1.441992,229300
2020-08-20,3.360000,3.400000,3.320000,3.390000,1.429343,320800
2020-08-21,3.390000,3.400000,3.280000,3.390000,1.429343,148100
2020-08-24,3.410000,3.450000,3.340000,3.430000,1.446208,211600
2020-08-25,3.460000,3.470000,3.360000,3.410000,1.437775,246000
2020-08-26,3.380000,3.380000,3.310000,3.380000,1.425126,261900
2020-08-27,3.180000,3.450000,3.130000,3.310000,1.395612,348900
2020-08-28,3.280000,3.280000,3.210000,3.220000,1.357665,276100
2020-08-31,3.320000,3.340000,3.200000,3.220000,1.357665,252300
2020-09-01,2.850000,2.910000,2.810000,2.890000,1.218525,4518400
2020-09-02,2.880000,2.970000,2.860000,2.950000,1.243823,892800
2020-09-03,3.080000,3.100000,2.900000,2.940000,1.239607,732000
2020-09-04,2.960000,2.980000,2.900000,2.950000,1.243823,450200
2020-09-08,2.900000,2.920000,2.850000,2.880000,1.214309,537000
2020-09-09,2.820000,2.820000,2.760000,2.780000,1.172145,833800
2020-09-10,2.850000,2.850000,2.680000,2.700000,1.138415,719100
2020-09-11,2.670000,2.830000,2.670000,2.700000,1.138415,386400
2020-09-14,2.730000,2.770000,2.710000,2.740000,1.155280,3294600
2020-09-15,2.730000,2.730000,2.630000,2.650000,1.117333,963800
2020-09-16,2.540000,2.550000,2.400000,2.530000,1.066736,1068700
2020-09-17,2.480000,2.510000,2.460000,2.490000,1.049871,377100
2020-09-18,2.410000,2.410000,2.330000,2.360000,0.995058,727800
2020-09-21,2.160000,2.160000,2.060000,2.150000,0.906515,1406700
2020-09-22,2.080000,2.160000,2.060000,2.130000,0.898083,638300
2020-09-23,2.170000,2.200000,2.050000,2.070000,0.872784,1052100
2020-09-24,2.010000,2.040000,1.950000,1.970000,0.830621,1022700
2020-09-25,1.960000,2.350000,1.870000,2.050000,0.864352,970800
2020-09-28,1.930000,2.040000,1.910000,2.000000,0.843270,1208500
2020-09-29,1.890000,1.970000,1.850000,1.860000,0.784241,1750900
2020-09-30,1.750000,1.810000,1.700000,1.720000,0.725212,2641100
2020-10-01,1.560000,1.770000,1.510000,1.590000,0.670400,4369400
2020-10-02,1.400000,1.560000,1.380000,1.550000,0.653534,2178500
2020-10-05,1.610000,1.680000,1.600000,1.680000,0.708347,1188400
2020-10-06,1.850000,2.090000,1.810000,1.990000,0.839054,4824300
2020-10-07,2.110000,2.120000,2.030000,2.100000,0.885433,2902200
2020-10-08,2.460000,2.770000,2.410000,2.660000,1.121549,5910700
2020-10-09,2.910000,2.990000,2.700000,2.960000,1.248039,6249300
2020-10-12,3.050000,3.070000,2.420000,2.650000,1.117333,5694700
2020-10-13,2.460000,2.470000,2.320000,2.390000,1.007708,3310900
2020-10-14,2.370000,2.390000,2.280000,2.320000,0.978193,1562100
2020-10-15,2.380000,2.570000,2.320000,2.520000,1.062520,2273200
2020-10-16,2.760000,2.820000,2.660000,2.760000,1.163713,2403400
2020-10-19,2.830000,2.850000,2.690000,2.780000,1.172145,1451400
2020-10-20,2.840000,2.940000,2.840000,2.890000,1.218525,1548000
2020-10-21,2.970000,2.990000,2.910000,2.930000,1.235391,951200
2020-10-22,2.890000,2.990000,2.820000,2.970000,1.252256,1630000
2020-10-23,3.040000,3.160000,2.980000,3.120000,1.315501,2356600
2020-10-26,3.010000,3.090000,2.840000,2.870000,1.210092,1229300
2020-10-27,2.820000,2.870000,2.770000,2.800000,1.180578,1153900
2020-10-28,3.030000,3.090000,2.750000,2.930000,1.235391,1844300
2020-10-29,2.500000,2.800000,2.490000,2.590000,1.092035,1875800
2020-10-30,2.540000,2.570000,2.370000,2.520000,1.062520,1107300
2020-11-02,2.590000,2.760000,2.440000,2.680000,1.129982,1129300
2020-11-03,2.820000,2.950000,2.760000,2.820000,1.189011,1276400
2020-11-04,2.810000,2.940000,2.760000,2.770000,1.167929,2775600
2020-11-05,2.650000,2.790000,2.550000,2.750000,1.159496,1364600
2020-11-06,2.550000,2.700000,2.550000,2.680000,1.129982,701000
2020-11-09,3.080000,3.560000,3.010000,3.100000,1.307068,2884600
2020-11-10,3.300000,3.360000,3.190000,3.250000,1.370314,1270700
2020-11-11,3.230000,3.230000,3.130000,3.170000,1.336583,601000
2020-11-12,3.060000,3.080000,3.010000,3.050000,1.285987,633000
2020-11-13,3.060000,3.180000,3.060000,3.140000,1.323934,548400
